110	['2007.03', 'Other depository institutions', '222', 'Financial liabilities Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFL0600', '0']

111	['2007.03', 'Other depository institutions', '222', 'Financial liabilities Closing balance financial derivatives and employee stock options', 'LE00000', 'AFL0700', '..']

112	['2007.03', 'Other depository institutions', '222', 'Financial liabilities Closing balance other accounts payable', 'LE00000', 'AFL0800', '..']

113	['2007.03', 'Other depository institutions', '222', 'Financial assets Closing balance produced non-financial assets', 'LE00000', 'AN10000', '181']

114	['2007.03', 'Other depository institutions', '222', 'Financial assets Closing balance non-produced non-financial assets', 'LE00000', 'AN20000', '13']

115	['2007.03', 'Other depository institutions', '222', 'Closing balance net worth', 'LE00000', 'B900000', '0']

116	['2007.03', 'Other depository institutions', '222', 'Closing balance total liabilities and net worth', 'LE00000', 'L000000', '16502']

117	['2007.03', 'Investment funds', '231', 'Closing balance total assets', 'LE00000', 'A000000', '40185']

118	['2007.03', 'Investment funds', '231', 'Financial assets Closing balance total financial and non-financial assets', 'LE00000', 'AFA0000', '40041']

119	['2007.03', 'Investment funds', '231', 'Financial assets Closing balance monetary gold and special drawing rights', 'LE00000', 'AFA0100', '0']

120	['2007.03', 'Investment funds', '231', 'Financial assets Closing balance currency and deposits', 'LE00000', 'AFA0200', '9146']

121	['2007.03', 'Investment funds', '231', 'Financial assets Closing balance debt securities', 'LE00000', 'AFA0300', '12842']

122	['2007.03', 'Investment funds', '231', 'Financial assets Closing balance loans', 'LE00000', 'AFA0400', '0']

123	['2007.03', 'Investment funds', '231', 'Financial assets Closing balance equity and investment fund shares', 'LE00000', 'AFA0500', '17740']

124	['2007.03', 'Investment funds', '231', 'Financial assets Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFA0600', '..']

125	['2007.03', 'Investment funds', '231', 'Financial assets Closing balance financial derivatives and employee stock options', 'LE00000', 'AFA0700', '0']

126	['2007.03', 'Investment funds', '231', 'Financial assets Closing balance other accounts receivable', 'LE00000', 'AFA0800', '313']

127	['2007.03', 'Investment funds', '231', 'Financial liabilities Closing balance total financial liabilities', 'LE00000', 'AFL0000', '40185']

128	['2007.03', 'Investment funds', '231', 'Financial liabilities Closing balance monetary gold and special drawing rights', 'LE00000', 'AFL0100', '0']

129	['2007.03', 'Investment funds', '231', 'Financial liabilities Closing balance currency and deposits', 'LE00000', 'AFL0200', '0']

130	['2007.03', 'Investment funds', '231', 'Financial liabilities Closing balance debt securities', 'LE00000', 'AFL0300', '0']

131	['2007.03', 'Investment funds', '231', 'Financial liabilities Closing balance loans', 'LE00000', 'AFL0400', '0']

132	['2007.03', 'Investment funds', '231', 'Financial liabilities Closing balance equity and investment fund shares', 'LE00000', 'AFL0500', '40185']

133	['2007.03', 'Investment funds', '231', 'Financial liabilities Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFL0600', '0']

134	['2007.03', 'Investment funds', '231', 'Financial liabilities Closing balance financial derivatives and employee stock options', 'LE00000', 'AFL0700', '..']

135	['2007.03', 'Investment funds', '231', 'Financial liabilities Closing balance other accounts payable', 'LE00000', 'AFL0800', '..']

136	['2007.03', 'Investment funds', '231', 'Financial assets Closing balance produced non-financial assets', 'LE00000', 'AN10000', '144']

137	['2007.03', 'Investment funds', '231', 'Financial assets Closing balance non-produced non-financial assets', 'LE00000', 'AN20000', '0']

138	['2007.03', 'Investment funds', '231', 'Closing balance net worth', 'LE00000', 'B900000', '0']

139	['2007.03', 'Investment funds', '231', 'Closing balance total liabilities and net worth', 'LE00000', 'L000000', '40185']

140	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Closing balance total assets', 'LE00000', 'A000000', '83629']

141	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial assets Closing balance total financial and non-financial assets', 'LE00000', 'AFA0000', '82880']

142	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial assets Closing balance monetary gold and special drawing rights', 'LE00000', 'AFA0100', '0']

143	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial assets Closing balance currency and deposits', 'LE00000', 'AFA0200', '1314']

144	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial assets Closing balance debt securities', 'LE00000', 'AFA0300', '42957']

145	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial assets Closing balance loans', 'LE00000', 'AFA0400', '33315']

146	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial assets Closing balance equity and investment fund shares', 'LE00000', 'AFA0500', '1784']

147	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial assets Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFA0600', '..']

148	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial assets Closing balance financial derivatives and employee stock options', 'LE00000', 'AFA0700', '99']

149	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial assets Closing balance other accounts receivable', 'LE00000', 'AFA0800', '3411']

150	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial liabilities Closing balance total financial liabilities', 'LE00000', 'AFL0000', '84279']

151	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial liabilities Closing balance monetary gold and special drawing rights', 'LE00000', 'AFL0100', '0']

152	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial liabilities Closing balance currency and deposits', 'LE00000', 'AFL0200', '0']

153	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial liabilities Closing balance debt securities', 'LE00000', 'AFL0300', '55445']

154	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial liabilities Closing balance loans', 'LE00000', 'AFL0400', '19291']

155	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial liabilities Closing balance equity and investment fund shares', 'LE00000', 'AFL0500', '8020']

156	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial liabilities Closing balance insurance, pension and standardised guarantee schemes', 'LE00000', 'AFL0600', '0']

157	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial liabilities Closing balance financial derivatives and employee stock options', 'LE00000', 'AFL0700', '130']

158	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial liabilities Closing balance other accounts payable', 'LE00000', 'AFL0800', '1393']

159	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial assets Closing balance produced non-financial assets', 'LE00000', 'AN10000', '735']

160	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Financial assets Closing balance non-produced non-financial assets', 'LE00000', 'AN20000', '14']

161	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Closing balance net worth', 'LE00000', 'B900000', '-650']

162	['2007.03', 'Other financial intermediaries excluding insurance and pension funds', '241', 'Closing balance total liabilities and net worth', 'LE00000', 'L000000', '83629']

163	['2007.03', 'Insurance corporations', '251', 'Closing balance total assets', 'LE00000', 'A000000', '21314']

164	['2007.03', 'Insurance corporations', '251', 'Financial assets Closing balance total financial and non-financial assets', 'LE00000', 'AFA0000', '19849']

165	['2007.03', 'Insurance corporations', '251', 'Financial assets Closing balance monetary gold and special drawing rights', 'LE00000', 'AFA0100', '0']

166	['2007.03', 'Insurance corporations', '251', 'Financial assets Closing balance currency and deposits', 'LE00000', 'AFA0200', 'C']

167	['2007.03', 'Insurance corporations', '251', 'Financial assets Closing balance debt securities', 'LE00000', 'AFA0300', 'C']

